finding_id	statement	source_kind	epistemic_status	gate	population_json	measurements_json	evidence_id	json_pointers	artifact_limits_json
G16_5_OBSERVATION_03	Canonicalization strictly enlarged the observed raw event and graph zero sets by erasing directional orientation.	MACHINE_DERIVED	OBSERVED	GATE16_5	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	G16_5_FINDINGS	/observations/2,/census	["raw object equivalence","best representation","universal geometry","family truth","prediction","mechanism","economic meaning"]
G16_5_OBSERVATION_04	Canonical expansion Graph V1 collapsed into three exhaustive classes of sizes 510, 27, and 1 under both frozen graph distances.	MACHINE_DERIVED	OBSERVED	GATE16_5	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	G16_5_FINDINGS	/observations/3,/census	["raw object equivalence","best representation","universal geometry","family truth","prediction","mechanism","economic meaning"]
G13R_RETEST_HOLD_GIVEN_RETEST_CONTACT	candidate::retest_hold_given_retest_contact::PASS	ARTIFACT_DECLARED	CONFIRMED	GATE13R	{"sealed_runs":12,"quarantined_runs":0}	{"candidate":"retest_hold_given_retest_contact","outcome":"PASS","behavioral_only":true,"trade_policy":false}	G13R_CERTIFICATE	/candidate_outcomes/retest_hold_given_retest_contact,/sealed_runs,/quarantined_runs,/behavioral_only,/trade_policy	{"behavioral_only":true,"trade_policy":false}
G15_RG3_CORPUS_SEALED	NORTHSTAR_RG3_GATE15_SEALED_CORPUS_MANIFEST_V1::SEALED	ARTIFACT_DECLARED	OBSERVED	GATE15	{"runs":42,"objects":1091,"instruments":6}	{"canonical_corpus_sha256":"68ed0ad0059390b683faaf2b7d607c0e1e763dcbf9b8368a8ae5a1e85d8684b8","totals":{"compression_objects":553,"expansion_objects":538,"compression_samples":14972,"expansion_samples":38458,"object_relations":4408,"structural_samples":55150},"objects_by_instrument":{"DE40":160,"FRA40":165,"JPN225":182,"US30":183,"US500":199,"USTEC":202}}	G15_CORPUS	/admitted_run_count,/canonical_corpus_sha256,/totals,/objects_by_instrument	{"discovery_v2_status":"COLLECT_MORE"}
G15_COMPRESSION_HYBRID_MIRRORED_V1	family_system::COMPRESSION::hybrid_mirrored_v1	MACHINE_DERIVED	SUPPORTED_EXPLORATORY	GATE15	{"supported_objects":538,"noise_objects":0}	{"family_system_sha256":"5eb5a2741a3c0de08701438efe24f1326da1bc298f2f1bdee875a56d69315599","common_families":2,"mean_seed_ari":0.9740790154777201,"noise_fraction":0.0}	G15_CORPUS	/family_systems	{"discovery_v2_status":"COLLECT_MORE"}
G13R_INITIAL_ACCEPTANCE_GIVEN_INITIAL_CONTACT	candidate::initial_acceptance_given_initial_contact::PASS	ARTIFACT_DECLARED	CONFIRMED	GATE13R	{"sealed_runs":12,"quarantined_runs":0}	{"candidate":"initial_acceptance_given_initial_contact","outcome":"PASS","behavioral_only":true,"trade_policy":false}	G13R_CERTIFICATE	/candidate_outcomes/initial_acceptance_given_initial_contact,/sealed_runs,/quarantined_runs,/behavioral_only,/trade_policy	{"behavioral_only":true,"trade_policy":false}
G13R_RECLAIM_GIVEN_BREAK	candidate::reclaim_given_break::PASS	ARTIFACT_DECLARED	CONFIRMED	GATE13R	{"sealed_runs":12,"quarantined_runs":0}	{"candidate":"reclaim_given_break","outcome":"PASS","behavioral_only":true,"trade_policy":false}	G13R_CERTIFICATE	/candidate_outcomes/reclaim_given_break,/sealed_runs,/quarantined_runs,/behavioral_only,/trade_policy	{"behavioral_only":true,"trade_policy":false}
G13R_REJECTION_GIVEN_INITIAL_CONTACT	candidate::rejection_given_initial_contact::PASS	ARTIFACT_DECLARED	CONFIRMED	GATE13R	{"sealed_runs":12,"quarantined_runs":0}	{"candidate":"rejection_given_initial_contact","outcome":"PASS","behavioral_only":true,"trade_policy":false}	G13R_CERTIFICATE	/candidate_outcomes/rejection_given_initial_contact,/sealed_runs,/quarantined_runs,/behavioral_only,/trade_policy	{"behavioral_only":true,"trade_policy":false}
G15_EXPANSION_RESAMPLED_SHAPE_V1	family_system::EXPANSION::resampled_shape_v1	MACHINE_DERIVED	SUPPORTED_EXPLORATORY	GATE15	{"supported_objects":510,"noise_objects":0}	{"family_system_sha256":"58b56f65841117821e44b18d673cfbb724cd5634db5b5747ed1942b1ec4531e1","common_families":2,"mean_seed_ari":0.8309302687062207,"noise_fraction":0.0}	G15_CORPUS	/family_systems	{"discovery_v2_status":"COLLECT_MORE"}
G15_EXPANSION_SUMMARY_GEOMETRY_V1	family_system::EXPANSION::summary_geometry_v1	MACHINE_DERIVED	SUPPORTED_EXPLORATORY	GATE15	{"supported_objects":498,"noise_objects":12}	{"family_system_sha256":"ab7a0b1ee23b4f15713a65550bc59230eb702d8e1e3842b025330ae51207cd92","common_families":2,"mean_seed_ari":0.910814405237795,"noise_fraction":0.023529411764705882}	G15_CORPUS	/family_systems	{"discovery_v2_status":"COLLECT_MORE"}
G15_5_RELATIONAL_ATLAS	EXPLORATORY_RELATIONAL_ATLAS_NOT_TAXONOMY	ARTIFACT_DECLARED	SUPPORTED_EXPLORATORY	GATE15_5	{"runs":42,"objects":1091,"lineages":538}	{"structural_bridge_receipts":2735,"exact_receipts":2690,"asof_receipts":5,"null_structural_receipts":40,"graph_nodes":3236,"graph_edges":10106}	G15_5_EXIT	/epistemic_status,/source_run_count,/source_object_count,/structural_bridge_receipts,/exact_receipts,/asof_receipts,/null_structural_receipts,/graph_nodes,/graph_edges	["Master SPACE is first-class through causal closed-bar snapshot receipts; the seven RG2 auction ledgers do not share the 42 RG3 run identities, so interval intersections remain explicitly not evaluable.","NULL_FAMILY, NULL_STRUCTURAL_CONTEXT, CENSORED_DESTINATION, NOT_APPLICABLE, DATA_GAP, and unavailable auction authority are distinct states.","Multiview tuples and lineages are coordinates, never promoted to new families.","Fitted systems replay training assignments; no out-of-sample rejection radius is authorized before Gate 16."]
G15_COMPRESSION_RESAMPLED_SHAPE_V1	family_system::COMPRESSION::resampled_shape_v1	MACHINE_DERIVED	SUPPORTED_EXPLORATORY	GATE15	{"supported_objects":538,"noise_objects":0}	{"family_system_sha256":"97373352c79af3746b7718cd3cc03c3880ee3f1f124aba1f415e4970f807f17b","common_families":2,"mean_seed_ari":0.995774792595591,"noise_fraction":0.0}	G15_CORPUS	/family_systems	{"discovery_v2_status":"COLLECT_MORE"}
G15_COMPRESSION_SUMMARY_GEOMETRY_V1	family_system::COMPRESSION::summary_geometry_v1	MACHINE_DERIVED	SUPPORTED_EXPLORATORY	GATE15	{"supported_objects":538,"noise_objects":0}	{"family_system_sha256":"297001a37593a9f07f114956e146320e18f378912d6e483f8c6ea92499bc2c5e","common_families":2,"mean_seed_ari":0.897676915084478,"noise_fraction":0.0}	G15_CORPUS	/family_systems	{"discovery_v2_status":"COLLECT_MORE"}
G15_EXPANSION_HYBRID_MIRRORED_V1	family_system::EXPANSION::hybrid_mirrored_v1	MACHINE_DERIVED	SUPPORTED_EXPLORATORY	GATE15	{"supported_objects":510,"noise_objects":0}	{"family_system_sha256":"aec22711ee5d4716189e7ee5fdb6f66806372f7673db38195f12c52920b27f37","common_families":3,"mean_seed_ari":0.9787750066075149,"noise_fraction":0.0}	G15_CORPUS	/family_systems	{"discovery_v2_status":"COLLECT_MORE"}
